"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5610","0","1","0.000000","0","0"
"","0","64","0","1","0.000000","99","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","4.777196","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","56.956501","0","9"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","11.780910","0","6"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","4.961156","0","2"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","1373.334595","0","88"
"/Game/VFX/Indicator/PlayerCircle_Ma.PlayerCircle_Ma","0","20","20","1","63.591522","0","20"
"/Game/Materials/Weapon_MM.Weapon_MM","0","6","6","1","66.627792","0","6"
"/Game/Materials/VAT_MM/VAT_SoftBody_MM.VAT_SoftBody_MM","0","44","48","2","194.992157","0","48"
"/Game/Raw_Textures/Character_MM.Character_MM","0","12","12","2","109.342377","0","12"
"/Game/VFX/SwordSwipe/Stab.Stab","0","15","15","1","20.022667","0","15"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","27.338308","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","4.609437","0","3"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","2.997091","0","3"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","6.457486","0","5"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","45.935253","0","14"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","6","1","50.732960","0","6"
"/Game/Materials/Landscape_MM.Landscape_MM","0","264","195","24","447.324463","27","149"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","2.331008","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","57.918266","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","2.713378","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","2.100912","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","17","17","1","12.995867","0","17"
"/Game/Materials/Opacity_Mat_MM.Opacity_Mat_MM","0","126","144","3","438.895935","0","144"
"/Game/Raw_Textures/BB_MM.BB_MM","0","28","32","1","98.478500","0","32"
"/Game/Raw_Textures/Rabot_MM.Rabot_MM","0","12","12","2","53.620049","0","12"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","41","46","6","57.648819","0","46"
"/Game/Props/Props_MM.Props_MM","0","18","18","2","151.782211","0","18"
"/Game/Materials/Environment_MM.Environment_MM","0","9","9","1","63.358536","0","9"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","6","7","1","7.186171","0","7"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","12","14","1","55.075123","0","14"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","73.773361","0","9"
"/Game/VFX/Dash_Attack_Vat/Indicator_MM.Indicator_MM","0","29","29","1","104.853340","0","29"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","4.809067","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","9.444087","0","6"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","4.785260","0","2"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","110.873230","0","36"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/Game/Graphics/PlayerUI/TigbiPlant_Mat.TigbiPlant_Mat","0","9","9","1","33.487881","0","9"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","20","25","1","47.797073","0","25"
"/Game/Characters/Oryol/NewMaterial.NewMaterial","0","6","6","1","59.322330","0","6"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","167.014969","0","63"
"/Game/Characters/Oryol/Oryol_Hair.Oryol_Hair","0","28","32","1","96.091759","0","32"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","28.258974","0","12"
"/Game/Raw_Textures/Tandayag_Hair.Tandayag_Hair","0","28","32","1","114.867386","0","32"
"/Game/Props/LFM_Torch.LFM_Torch","0","17","17","1","16.851429","0","17"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","102","112","6","548.175781","0","112"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","30","35","1","54.691936","0","35"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","14.050498","0","10"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","53.391582","0","6"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","110","128","6","751.597778","0","128"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","102","112","6","672.632935","0","112"
"/Game/Characters/Rabot/aiStandardSurface5.aiStandardSurface5","0","9","9","1","84.166260","0","9"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","51.420784","0","6"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","27.722515","0","9"
"/InterchangeAssets/gltf/M_Default.M_Default","0","110","128","6","653.563049","0","128"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","52.600853","0","6"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","6","7","1","13.269363","0","7"
"/ControlRig/M_Manip.M_Manip","0","6","7","1","7.400402","0","7"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","46","52","3","76.306816","0","52"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","99.709816","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","98.752884","0","32"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","28","28","2","251.905060","0","28"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","3.668274","0","2"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","9.049214","0","13"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","82","92","6","117.429855","0","92"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","4.519259","0","5"
"/Game/Graphics/UI/Intro/Intro_Mat.Intro_Mat","0","12","12","1","9.339056","0","12"
